1,Genesis Starliner,Crusader Industries,Transport de passagers,0,Grand,4,8,false,"https://robertsspaceindustries.com/i/28b84eece3d88da1ef46512f5ccda2d52ab5188b/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjCZtmWTXGYC6ppEv2dfyqgTt8K3kv8r4E)/source.jpg"
2,Hercules Starlifter C2,Crusader Industries,Transport de fret lourd,696,Grand,1,2,true,"https://robertsspaceindustries.com/i/387f877bf5aae2c4dc6e32568d621473b5d4d79e/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskpcDUyTPuKfT2cePUz4jof5hYcpd6LjZx)/source.jpg"
3,Hercules Starlifter M2,Crusader Industries,Transport militaire,468,Grand,1,3,true,"https://robertsspaceindustries.com/i/ecbed3dfd956ca7abe163b3cda1e43784c9d5d53/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReseTg8yHWoyFU5ctCYvWz382EoBq77xDmMY)/source.jpg"
4,Hercules Starlifter A2,Crusader Industries,Bombardier lourd,234,Grand,1,3,true,"https://robertsspaceindustries.com/i/8f68e99ee76f7ab8ae8da725196f32d9a5d61a69/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResidY9GU2m2dhad9nWNxb18qK9ZrBf6PhFU)/source.jpg"
5,Mercury Star Runner,Crusader Industries,Courier/Exploration,96,Moyen,1,3,true,"https://robertsspaceindustries.com/i/968944e4818ed482e8ca891152eec706ce5575ce/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReseM2Qd3hg33nVNrZr93SXcfBLpXPPoyseW)/source.jpg"
6,Spirit C1,Crusader Industries,Transport de fret moyen,48,Moyen,1,2,false,"https://robertsspaceindustries.com/i/bac6648185eab3ca89a9b859d6092c81fe337587/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjfBqExzNdjFYFntDZSQvoviQmVRUrSXUz)/source.jpg"
7,Spirit A1,Crusader Industries,Bombardier léger,0,Moyen,1,2,false,"https://robertsspaceindustries.com/i/8dd23d865543540372922e592bd06196e0cc32ec/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjqeH5Syrkjvs1ARQzHr1K5xByXfMTgZrN)/source.jpg"
8,Spirit E1,Crusader Industries,Transport de passagers VIP,0,Moyen,1,2,false,"https://robertsspaceindustries.com/i/69ac36022b20a1aa06ac554df601ae7c6b8eacb3/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjk9bBeoUteJkovWT3ApUz7T174pHLYJ4E)/source.jpg"
9,Intrepid,Crusader Industries,Porte-vaisseaux,8,Très Grand,10,5,false,"https://robertsspaceindustries.com/i/6c8a974fda24417eeffaf0c01e2f4d1c0b9ecd4e/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskZh1CNYQ3572KikzS5RcFRif9Cumk34qU)/source.jpg"
10,Ares Ion,Crusader Industries,Chasseur lourd,0,Moyen,1,1,true,"https://robertsspaceindustries.com/i/38f0c5a9561f3f29798207b431326db3a998d0ce/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResidZaY5SRiicBUSgjL8oiDCWFUNRcX7Mnv)/source.jpg"
11,Ares Inferno,Crusader Industries,Chasseur lourd,0,Moyen,1,1,true,"https://robertsspaceindustries.com/i/8ba059daedf99e377a6b4773167364933ec37348/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskPUMphCZRXRAQLjVqV1sqM6EBTAiv9qKc)/source.jpg"
13,Syulen,Gatac Manufacture,Transport de fret,6,Petit,1,1,true,"https://robertsspaceindustries.com/i/11c4dccf824516cd0fd1231fc1dc25169ddfb1e2/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResevDjh8NbxfyAnM6defNpFEAzcGPsCoH9x)/source.jpg"
12,Railen,Gatac Manufacture,Transport de fret,320,Moyen,4,2,false,"https://robertsspaceindustries.com/i/4dfd4449568b2e1cad2c68f29b0359e340904275/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjMt9zucHrQHoZQjxE5UZEkUPmzpv3giza)/source.jpg"
