Nom,Fabricant,Production State,Image,Role,Taille,Equipage,Cargo,Lien
100i,Origin Jumpworks,Flight ready,https://media.starcitizen.tools/thumb/5/5a/100i_Microtech.jpg/400px-100i_Microtech.jpg.webp,"Starter, Touring","Small
(S1/XXS
)",1,2 SCU,https://starcitizen.tools/100i
125a,Origin Jumpworks,Flight ready,https://media.starcitizen.tools/thumb/1/1e/125a_-_Shooting_-_Fly_though_debris.png/400px-125a_-_Shooting_-_Fly_though_debris.png.webp,"Starter, Light Fighter","Small
(S1/XXS
)",1,2 SCU,https://starcitizen.tools/125a
135c,Origin Jumpworks,Flight ready,https://media.starcitizen.tools/thumb/c/c6/Orig-135c-3.11-space-flight.jpg/400px-Orig-135c-3.11-space-flight.jpg.webp,"Starter, Light Freight","Small
(S1/XXS
)",1,6 SCU,https://starcitizen.tools/135c
300i,Origin Jumpworks,Flight ready,https://media.starcitizen.tools/thumb/4/48/300i_-_Flying_over_cloudtops.jpg/400px-300i_-_Flying_over_cloudtops.jpg.webp,"Touring, Luxury","Small
(S2/XS
)",1,8 SCU,https://starcitizen.tools/300i
315p,Origin Jumpworks,Flight ready,https://media.starcitizen.tools/thumb/b/ba/315p_-_Flying_high_over_clouds.jpg/400px-315p_-_Flying_high_over_clouds.jpg.webp,Pathfinder,"Small
(S2/XS
)",1,12 SCU,https://starcitizen.tools/315p
325a,Origin Jumpworks,Flight ready,https://media.starcitizen.tools/thumb/7/71/325a_-_Flying_fast_over_clouded_mountains.jpg/400px-325a_-_Flying_fast_over_clouded_mountains.jpg.webp,"Light Fighter, Interdiction","Small
(S2/XS
)",1,4 SCU,https://starcitizen.tools/325a
350r,Origin Jumpworks,Flight ready,https://media.starcitizen.tools/thumb/5/5f/350r_-_Flying_over_Daymar_x2.jpg/400px-350r_-_Flying_over_Daymar_x2.jpg.webp,Racing,"Small
(S2/XS
)",1,4 SCU,https://starcitizen.tools/350r
400i,Origin Jumpworks,Flight ready,https://media.starcitizen.tools/thumb/7/78/400i_cruising_through_Area18_3.15.png/400px-400i_cruising_through_Area18_3.15.png.webp,Touring,"Large
(S4/M
)",1 – 3,42 SCU,https://starcitizen.tools/400i
600i Executive Edition,Origin Jumpworks,Flight ready,https://media.starcitizen.tools/thumb/f/fe/600i_-_Legatus_Navium_Edition.jpg/400px-600i_-_Legatus_Navium_Edition.jpg.webp,Exploration,"Large
(S5/L
)",2 – 5,44 SCU,https://starcitizen.tools/600i_Executive_Edition
600i Explorer,Origin Jumpworks,Flight ready,https://media.starcitizen.tools/thumb/a/ac/600i_Flying_over_Microtech_-_cropped.png/400px-600i_Flying_over_Microtech_-_cropped.png.webp,Expedition,"Large
(S5/L
)",2 – 5,44 SCU,https://starcitizen.tools/600i_Explorer
