id,name,brand,focus,scu,size,crew,flight_ready,image_url
31,100i,Origin Jumpworks,"Starter, Touring",2,Small S1/XXS,1,true,https://media.starcitizen.tools/thumb/5/5a/100i_Microtech.jpg/400px-100i_Microtech.jpg.webp
32,125a,Origin Jumpworks,"Starter, Light Fighter",2,Small S1/XXS,1,true,https://media.starcitizen.tools/thumb/1/1e/125a_-_Shooting_-_Fly_though_debris.png/400px-125a_-_Shooting_-_Fly_though_debris.png.webp
33,135c,Origin Jumpworks,"Starter, Light Freight",6,Small S1/XXS,1,true,https://media.starcitizen.tools/thumb/c/c6/Orig-135c-3.11-space-flight.jpg/400px-Orig-135c-3.11-space-flight.jpg.webp
34,300i,Origin Jumpworks,"Touring, Luxury",8,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/4/48/300i_-_Flying_over_cloudtops.jpg/400px-300i_-_Flying_over_cloudtops.jpg.webp
35,315p,Origin Jumpworks,Pathfinder,12,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/b/ba/315p_-_Flying_high_over_clouds.jpg/400px-315p_-_Flying_high_over_clouds.jpg.webp
36,325a,Origin Jumpworks,"Light Fighter, Interdiction",4,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/7/71/325a_-_Flying_fast_over_clouded_mountains.jpg/400px-325a_-_Flying_fast_over_clouded_mountains.jpg.webp
37,350r,Origin Jumpworks,Racing,4,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/5/5f/350r_-_Flying_over_Daymar_x2.jpg/400px-350r_-_Flying_over_Daymar_x2.jpg.webp
38,400i,Origin Jumpworks,Touring,42,Large S4/M,1 – 3,true,https://media.starcitizen.tools/thumb/7/78/400i_cruising_through_Area18_3.15.png/400px-400i_cruising_through_Area18_3.15.png.webp
39,600i Executive Edition,Origin Jumpworks,Exploration,44,Large S5/L,2 – 5,true,https://media.starcitizen.tools/thumb/f/fe/600i_-_Legatus_Navium_Edition.jpg/400px-600i_-_Legatus_Navium_Edition.jpg.webp
40,600i Explorer,Origin Jumpworks,Expedition,44,Large S5/L,2 – 5,false,https://media.starcitizen.tools/thumb/a/ac/600i_Flying_over_Microtech_-_cropped.png/400px-600i_Flying_over_Microtech_-_cropped.png.webp
41,100i,Origin Jumpworks,"Starter, Touring",,Small S1/XXS,1,true,https://media.starcitizen.tools/thumb/5/5a/100i_Microtech.jpg/400px-100i_Microtech.jpg.webp
42,125a,Origin Jumpworks,"Starter, Light Fighter",,Small S1/XXS,1,true,https://media.starcitizen.tools/thumb/1/1e/125a_-_Shooting_-_Fly_though_debris.png/400px-125a_-_Shooting_-_Fly_though_debris.png.webp
43,135c,Origin Jumpworks,"Starter, Light Freight",,Small S1/XXS,1,true,https://media.starcitizen.tools/thumb/c/c6/Orig-135c-3.11-space-flight.jpg/400px-Orig-135c-3.11-space-flight.jpg.webp
