id,name,focus,scu,size,crew,flight_ready,image_url,brand_id
15,Avenger Warlock,INTERDICTION,0,Small,1,true,"https://robertsspaceindustries.com/i/b93bc9789afd0d3c79061582aeeb15fe84f6851e/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjdrHki5t8uUHTq8X74sN2QBB2BhVkJE8e)/source.webp",1
16,Eclipse,STEALTH BOMBER,0,Medium,1,true,"https://robertsspaceindustries.com/i/26b4339b2c3abfe986b38bcdb6f3394573891b8e/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResj1s8gewpqUNmaY5rDCxpDUA1NhMoiVrHt)/source.webp",1
19,Hammerhead,HEAVY GUN SHIP,0,Large,9,true,"https://robertsspaceindustries.com/i/2d1133694e11b92d0b4d3bc89887c2ce3c5dc403/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskw8pF3smytMEoihUHnd7hNxebuVtB4znz)/source.webp",1
21,Idris-P,FRIGATE,0,Capital,28,true,"https://robertsspaceindustries.com/i/6e168e351f1e7634bec6f35fb73dca2d8b4ca900/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskqY6z7TSDPHadnqPCeZCNtvaR4zHv7pkE)/source.webp",1
24,Nautilus Solstice Edition,MINELAYER,64,Large,4,false,"https://robertsspaceindustries.com/i/722e3fae113bff8da25fdc1548364efb6dcde748/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjkHkFivXFNwMzRH2zpNDhn2HKZyoE4MCJ)/source.webp",1
26,Reclaimer,HEAVY SALVAGE,0,Large,5,true,"https://robertsspaceindustries.com/i/968b9b8cae35fba622a5356ee403a3db70f69db1/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjkHit9pz2hMMvi7EmNgpfzTX1oMBWhjF4)/source.webp",1
27,Redeemer,GUNSHIP,2,Medium,3,true,"https://robertsspaceindustries.com/i/fe03b51830cefdc04ea512f9b6887837d02a52a6/resize(1820,1024,cover,hgjbks2vRxvijgZCkcudyey3yf2YnBqfanX6U636vzzNeeFdx43A2FpAtr4dce6zL9JH9YZyXwhA4VkD1n3fdHWi5t)/source.webp",1
20,Idris-M,FRIGATE,0,Capital,28,true,"https://robertsspaceindustries.com/i/e2ecd14ea7c53b404982a902d8fbca0e3020833c/resize(1820,1024,cover,hgjbks2vRxvijgZCkcudyey3yf2YnBqfanX6U636vzzNeeFdx43A2FpAZ49bpw6FiNoWgDAsBUvHcwx6yVRbszrCgE)/source.webp",1
23,Nautilus,MINELAYER,0,Large,8,false,"https://robertsspaceindustries.com/i/051670c059dacd122a5d9fb45b10f9471a5aab80/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResipDnNrrrz7nbvL1DVJLNr6dYAYCQ3zryk)/source.webp",1
17,Gladius,LIGHT FIGHTER,0,Small,1,true,"https://robertsspaceindustries.com/i/60415cc9954828896ce4495b34885d7e3a6951d9/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResieuRXVexPTjwdpMHEWo3saH7q2zcqCJWS)/source.webp",1
32,Sabre Peregrine,RACING,0,Small,1,true,"https://robertsspaceindustries.com/i/35d883574249067329350fcde8c2e021dd9941af/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjYZJrcjGJae4CW9hJSNqZTu4MRVunMRxa)/source.webp",1
35,Vanguard Hoplite,DROPSHIP,0,Medium,1,true,"https://robertsspaceindustries.com/i/ddf87a3557d7974de14f100d5290431cc52f23f7/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskMz76vuAhBK7HF2Vi7XtMGa1Y7NERvKjt)/source.webp",1
22,Javelin,DESTROYER,5400,Capital,12,false,"https://robertsspaceindustries.com/i/d06d02ee0e01ad6dcb16561795ae4cd8f87186a3/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjvbX42c3rKWbDaqUyqNmKE6rWyf9aufLJ)/source.webp",1
13,Avenger Titan,LIGHT FREIGHT,0,Small,1,true,"https://robertsspaceindustries.com/i/4cddca806932fe6d4e4e8dc6f9e3d908e81cf46e/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResivggYNE4eG6QvxjvFyCFYpGdCAjcE8FWN)/source.webp",1
18,Gladius Valiant,LIGHT FIGHTER,0,Small,1,true,"https://robertsspaceindustries.com/i/536842fae187ad4bf028eb9f912db297e41c917a/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjHxYqZhkCGAu3JFrXyZrgxc2yximhqvWa)/source.webp",1
33,Sabre Raven,INTERDICTION,0,Small,1,true,"https://robertsspaceindustries.com/i/aa25575d96fe5d62f91f1a36b34f6eff783d3f4d/resize(1820,1024,cover,KURpdqNCnKMLsybqPjbHVvMxEXVai8Bjx97Vw6TBjyceuLH3KFtv5Tcq576ymYZsV29ejnpe3n4SjeCWQmzR1rS2pe)/3_4_front_raven_blue_Enlarge_Crop.webp",1
34,Vanguard Harbinger,BOMBER,0,Medium,2,true,"https://robertsspaceindustries.com/i/5827d64995a2ea3f3e1418641f5570b8a1043612/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResj1xF7q7jf7jd79bnxNkSizmEWjeHmN7wC)/source.webp",1
14,Avenger Titan Renegade,LIGHT FREIGHT,0,Small,1,true,"https://robertsspaceindustries.com/i/25d4100099aa5f87bb7b36e06056bc4861ab28b8/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjvbX7PuKjrhqxjGg8vwDFs77Wp7ieLKNv)/source.webp",1
12,Avenger Stalker,INTERDICTION,0,Small,1,true,"https://robertsspaceindustries.com/i/35de97c9cec2d6f665c9a8a5093ec9ad1b425fb5/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResf1RcQiMKS1d8aWg7DL1cTuRfHhVbh6JRC)/source.webp",1
38,Vulcan,MEDIUM REPAIR / MEDIUM REFUEL,12,Medium,1,false,"https://robertsspaceindustries.com/i/9e7e9b7b18f90777c9ab34b571dbacf470d78c52/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResejVm2oahKQbxntDyDipVCaX4byAbDNp6a)/source.webp",1
36,Vanguard Sentinel,INTERDICTION,0,Medium,2,true,"https://robertsspaceindustries.com/i/7cfa103b8d285fe680502316fdb6684a208e87a2/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskTR6eaJfWreJS6tkpbG1L52GU8WeW2bfk)/source.webp",1
28,Retaliator,MODULAR GUNSHIP,0,Large,7,true,"https://robertsspaceindustries.com/i/b9b0878a9024d628a0a354fcf5e93019f7109618/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjCdZHYHWjm6PDHXfWXZ5H5zaPpNaNWnkW)/source.webp",1
31,Sabre Firebird,MEDIUM FIGHTER,0,Medium,1,true,"https://robertsspaceindustries.com/i/f037fb320d24837acc6152657518d19f13a728c4/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResk7WF8gxQ2oWfEL4DujqfZsZJ6ADujSDF4)/source.webp",1
25,Pirate Gladius,LIGHT FIGHTER,0,Small,1,true,"https://robertsspaceindustries.com/i/b7e20a5d03590510387a8c49d09c7846c0265866/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResf15Krw6hXmbxWongmJxbMoKnJGMHJtPtz)/source.webp",1
30,Sabre Comet,MEDIUM FIGHTER,0,Small,1,true,"https://robertsspaceindustries.com/i/e0ba58229607b2f143a3413a60a115b37f154bda/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResejaqZiWqzJk1v9rhSh93faaUuRM5WPM98)/source.webp",1
29,Sabre,STEALTH FIGHTER,0,Small,1,true,"https://robertsspaceindustries.com/i/e780fce7b5bc3aef5d54ae873d1ae4ddbdadbbf6/resize(1820,1024,cover,hgjbks2vRxvijgZCkcudyey3yf2YnBqfanX6U636vzzNeeFdx43A2FpAZ7nnvLVtpHFMFWL7o7nMwTrRFj5ZVqWmvn)/source.webp",1
37,Vanguard Warden,HEAVY FIGHTER,0,Medium,2,true,"https://robertsspaceindustries.com/i/9e22a6d48ab6e41700b03715bdff21f3944596f3/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskkCoaQ3hcYZfVfuw4ru7sC7dzNvKsbGXG)/source.webp",1
39,Arrow,LIGHT FIGHTER,0,Small,,true,"https://robertsspaceindustries.com/i/1f0868e6b7d6ee5d0f72cd5fd41063bec3fe7c76/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjUCY424inopgLKcxbZLVecByFWiDge1gS)/source.webp",2
40,Asgard,DROPSHIP,180,Medium,1,true,"https://robertsspaceindustries.com/i/5c0b5f9604975d406c9c80c8facbad95ee5a0328/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjHqQ7nzeWKNJC9PZ799uzA3LV8x15ssJv)/source.webp",2
41,Ballista,MILITARY,0,Small,2,true,"https://robertsspaceindustries.com/i/004b56fd94e9224b95646f683ac234cab884ee06/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResj76XQUHMro7sbhMTSrhqtrQngyMgUY8aA)/source.webp",2
42,C8 Pisces,EXPLORATION,0,Small,3,true,"https://robertsspaceindustries.com/i/9b1cff335e849bd1e463a1c8dcf28ec24fcb2fab/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResf1XNoTVqU1sjNSW7iPXBbXMdQEtc1QnwY)/source.webp",2
43,C8R Pisces,MEDICAL,0,Small,2,true,"https://robertsspaceindustries.com/i/33e033b9d65161a39ee2ed496c9ac2771427231e/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjYUpdwY9hHjEgqpaExZb84z9p1hR5FWNa)/source.webp",2
44,C8X Pisces Expedition,EXPEDITION,0,Small,3,true,"https://robertsspaceindustries.com/i/69de38cb76d9cf625fa4ec27ba9bf741e6598e32/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjZbCSUWdnfpmEffJvwzU9skusSz6GzjN6)/source.webp",2
